Krithi,Raga,Hyperlink
abhayAmbA jagadambA,kalyANi,http://guru-guha.blogspot.com/2007/07/dikshitar-kriti-abhayaambaa-jagadambaa.html
abhayAmbA nAyaka hari sAyaka,Ananda bhairavi,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-abhayaambaa-naayaka.html
abhayAmbA nAyaka vara dAyaka,kEdAra gauLa,http://guru-guha.blogspot.com/2007/07/dikshitar-kriti-abhayaambaa-naayaka.html
abhayAmbAyAM bhaktiM,sahAna,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-abhyaambaam-bhaktim.html
abhayAmbikAyAH anyaM,kEdAra gauLa,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-abhayaambikaayaah-anyam.html
abhayAmbikAyai aSva,yadukula kAmbhOji,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-abhayaambikaayai.html
abhirAmIM akhila,bhUshAvati,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-abhiraameem-akhila-raga.html
Adi purISvaraM,Arabhi,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-adipureesvaram-raga.html
agastISvaraM,lalitA,http://guru-guha.blogspot.com/2007/07/dikshitar-kriti-agasteesvaram-raga.html
akhilANDESvari raksha mAM,jujAvanti,http://guru-guha.blogspot.com/2007/07/dikshitar-kriti-akhilandesvari-raksha.html
akhilANDESvarO rakshatu,Suddha sAvEri,http://guru-guha.blogspot.com/2007/07/dikshitar-kriti-akhilandesvaro-rakshatu.html
akhilANDESvaryai namastE,Arabhi,http://guru-guha.blogspot.com/2007/07/dikshitar-kriti-akhilandesvaryai.html
akshaya linga vibhO,SankarAbharaNaM,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-akshaya-linga-vibho.html
amba nIlAyatAkshi,nIlAmbari,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-amba-neelaayathaakshi.html
ambikAyAH abhayAmbikAyAH,kEdAraM,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-ambikaayaah.html
Ananda naTana prakASaM,kEdAraM,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-ananada-natana.html
AnandAmRtAkarshiNi,amRta varshiNi,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-anandaamruta-karshini.html
AnandESvarENa,Ananda bhairavi,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-anandesvarena-raga.html
ananta bAla kRshNa,ISa manOhari,http://guru-guha.blogspot.com/2007/07/dikshitar-kriti-ananta-bala-krishna.html
angArakaM ASrayAmyahaM,suraTi,http://guru-guha.blogspot.com/2007/07/dikshitar-kriti-angaarakamaasrayaamyaha.html
AnjanEyaM,SankarAbharaNaM,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-anjaneyam-raga.html
annapUrNE viSAlAkshi,sAma,http://guru-guha.blogspot.com/2007/07/dikshitar-kriti-annapoornae.html
ardha nArISvaraM,kumudakriyA,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-ardha-naareesvaram-raga.html
aruNAcala nAthaM,sAranga,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-arunaachala-naatham.html
AryAM abhayAmbAM,bhairavi,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-aryaam-abhayaambaam.html
avyAja karuNA,sAlanga nATa,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-avyaaja-karunaa-raga.html
bAla gOpAla,bhairavi,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-bala-gopala-raga.html
bAla kRshNaM bhAvayAmi,gOpikA vasantaM,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-balakrishnam-bhavayami.html
bAla kucAmbikE,suraTi,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-bala-kuchambike-raga.html
bAla subrahmaNyaM,suraTi,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-bala-subhrahmanyam-raga.html
bAlAmbikayA kaTAkshitOhaM,SrI ranjani,http://guru-guha.blogspot.com/2008/03/dikshitar-kriti-balambikayaa.html
bAlAmbikAyAH paraM,kAnaDa,http://guru-guha.blogspot.com/2008/03/dikshitar-kriti-balambikayah-param-raga.html
bAlAmbikAyAH tava,kEdAra gauLa,http://guru-guha.blogspot.com/2008/03/dikshitar-kriti-balambikayah-tava-raga.html
bAlAmbikAyai namastE,nATa kuranji,http://guru-guha.blogspot.com/2008/03/dikshitar-kriti-balambikayai-namaste.html
