Krithi,Raga,Hyperlink
(ambA) kAmAkshi anudinamu,bhairavi,http://syamakrishnavaibhavam.blogspot.com/2011/05/syama-sastry-kriti-kamakshi-anudinamu.html
A dinamuninci,Anandabhairavi,http://syamakrishnavaibhavam.blogspot.com/2011/05/syama-sastry-kriti-dinamuninchi-raga.html
akhilANDESvarI,karnATaka kApi,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-akhilandesvari-raga.html
birAna varAlicci,kalyANi,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-birana-varalicchi.html
bRhannAyakI,madhyamAvati,http://syamakrishnavaibhavam.blogspot.com/2011/05/syama-sastry-kriti-brhannayaki-raga.html
brOva samayamidE,punnAga varALi,http://syamakrishnavaibhavam.blogspot.com/2011/04/syama-sastry-kriti-brova-samayamide.html
brOvavammA,nIlAmbari,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-brovavamma-raga.html
brOvavammA tAmasamElE,mAnji,http://syamakrishnavaibhavam.blogspot.com/2011/05/syama-sastry-kriti-brovavamma.html
daya jUDa,jaganmOhini,http://syamakrishnavaibhavam.blogspot.com/2011/04/syama-sastry-kriti-daya-juda-raga.html
dayA nidhE,bEgaDa,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-daya-nidhe-begada.html
dEvI brOva,cintAmaNi,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-devi-brova-raga.html
dEvI mIna nEtrI,SankarAbharaNam,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-devi-meena-netri.html
dEvI nannu,kalyANi,http://syamakrishnavaibhavam.blogspot.com/2011/07/syama-sastry-kriti-devi-nannu-raga.html
dEvI nI pada,kAmbhOji,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-devi-ni-pada-raga.html
durusugA,sAvEri,http://syamakrishnavaibhavam.blogspot.com/2011/04/syama-sastry-kriti-durusuga-raga-saveri.html
Emani migula,tODi,http://syamakrishnavaibhavam.blogspot.com/2011/03/syama-krishna-vaibhavam-syama-sastry.html
ennEramum un nAma,pUrvi kalyANi,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-enneramum-un-nama.html
ennEramum un pAda,punnAga varALi,http://syamakrishnavaibhavam.blogspot.com/2011/04/syama-sastry-kriti-enneramum-un-pada.html
himAcala tanaya,Ananda bhairavi,http://syamakrishnavaibhavam.blogspot.com/2011/05/syama-sastry-kriti-himachala-tanaya.html
himAdri sutE,kalyANi,http://syamakrishnavaibhavam.blogspot.com/2011/07/syama-sastry-kriti-himadri-sute-raga.html
janani nata jana,sAvEri,http://syamakrishnavaibhavam.blogspot.com/2011/04/syama-sastry-kriti-janani-nata-jana.html
kAmAkshi anudinamu (ambA),bhairavi,http://syamakrishnavaibhavam.blogspot.com/2011/05/syama-sastry-kriti-kamakshi-anudinamu.html
kAmAkshi bangAru,varALi,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-kamakshi-bangaru.html
kAmAkshi karuNA,paraju,http://syamakrishnavaibhavam.blogspot.com/2011/04/syama-sastry-kriti-kamakshi-karuna-raga.html
kAmAkshi lOka sAkshiNI,madhyamAvati,http://syamakrishnavaibhavam.blogspot.com/2011/05/syama-sastry-kriti-kamakshi-loka.html
kAmAkshI nAtO,bEgaDa,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-kamakshi-nato-rage.html
kAmAkshi nI pada,yadukula kAmbhOji,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-kamakshi-ni-pada.html
kanaka Saila,punnAga varAli,http://syamakrishnavaibhavam.blogspot.com/2011/04/syama-sastry-kriti-kanaka-saila-raga.html
karuNa jUDa,SrI rAgam,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-karuna-juda-sri.html
karuNa jUDavammA,varALi,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-karuna-judavamma.html
karuNA nidhi ilalO,tODi,http://syamakrishnavaibhavam.blogspot.com/2011/03/syama-krishna-vaibhavam-syama-sastry_26.html
mahilO ambA,Ananda bhairavi,http://syamakrishnavaibhavam.blogspot.com/2011/05/syama-sastry-kriti-mahilo-amba-raga.html
mari vErE gati,Ananda bhairavi,http://syamakrishnavaibhavam.blogspot.com/2011/05/syama-sastry-kriti-mari-vere-gati-raga.html
mAyammA nannu,nATa kuranji,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-mayamma-nannu-raga.html
mAyammAyani,Ahiri,http://syamakrishnavaibhavam.blogspot.com/2011/03/syama-sastry-kriti-mayammayani-ahiri.html
mIna lOcanA,dhanyAsi,http://syamakrishnavaibhavam.blogspot.com/2011/04/syama-sastry-kriti-meena-lochana-raga.html
nA manavini,saurAshTram,http://syamakrishnavaibhavam.blogspot.com/2011/05/syama-sastry-kriti-naa-manavini-raga.html
nannu brOva rAdA,janaranjani,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-nannu-brova-rada.html
nannu brOvu,lalita,http://syamakrishnavaibhavam.blogspot.com/2011/04/syama-sastry-kriti-nannu-brovu-raga.html
nanu brOva rAdA,gauLipantu,http://syamakrishnavaibhavam.blogspot.com/2011/04/syama-sastry-kriti-nanu-brova-rada-raga.html
nIlAyatAkshi,paraju,http://syamakrishnavaibhavam.blogspot.com/2011/04/syama-sastry-kriti-nilayatakshi-raga.html
ninnE namminAnu,tODi,http://syamakrishnavaibhavam.blogspot.com/2011/03/syama-sastry-kriti-ninne-namminanu-todi.html
ninnE nammiti,kEdAra gauLa,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-ninne-nammiti-raga.html
ninnu vinA mari,rItigauLa - Abheri,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-ninnu-vina-mari.html
ninnu vinAga,pUrvi kalyANi,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-ninnu-vinaga-raga.html
nIvE gatiyani,kalyANi,http://syamakrishnavaibhavam.blogspot.com/2011/07/syama-sastry-kriti-nive-gatiyani-raga.html
O jagadambA,Ananda bhairavi,http://syamakrishnavaibhavam.blogspot.com/2011/05/syama-sastry-kriti-o-jagadamba-raga.html
pAhi mAM,nATa,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-paahi-mam-nata-raga.html
pAhi SrI giri rAja,Ananda bhairavi,http://syamakrishnavaibhavam.blogspot.com/2011/05/syama-sastry-kriti-pahi-sri-giri-raja.html
pAlayASu mAM,Arabhi,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-paalayaasu-mam-raga.html
pAlimpavammA,mukhAri,http://syamakrishnavaibhavam.blogspot.com/2011/05/syama-sastry-kriti-palimpavamma-raga.html
pAlincu kAmAkshi,madhyamAvati,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-palinchu-kamakshi.html
parAkEla,kEdAra gauLa,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-paraakela-raga.html
parAmukham,kalyANi,http://syamakrishnavaibhavam.blogspot.com/2011/07/syama-sastry-kriti-paraamukham-raga.html
pArvati janani,bhairavi,http://syamakrishnavaibhavam.blogspot.com/2011/05/syama-sastry-kriti-parvati-janani-raga.html
pArvati ninu,kalgaDa,http://syamakrishnavaibhavam.blogspot.com/2011/05/syama-sastry-kriti-paravti-ninu-raga.html
pura hara jAyE,gauLipantu,http://syamakrishnavaibhavam.blogspot.com/2011/04/syama-sastry-kriti-pura-hara-jaaye-raga.html
rAvE hima giri kumAri,tODi,http://syamakrishnavaibhavam.blogspot.com/2011/03/syama-sastry-kriti-rave-hima-giri.html
rAvE parvata rAja,kalyANi,http://syamakrishnavaibhavam.blogspot.com/2011/07/syama-sastry-kriti-raave-parvata-raja.html
sAmi ninnE,bEgaDa,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-sami-ninne-raga.html
Sankari SaMkuru,sAvEri,http://syamakrishnavaibhavam.blogspot.com/2011/04/syama-sastry-kriti-sankari-samkuru-raga.html
Sankari Sankari,kalyANi,http://syamakrishnavaibhavam.blogspot.com/2011/07/syama-sastry-kriti-sankari-sankari-raga.html
santatam ennai,paraju,http://syamakrishnavaibhavam.blogspot.com/2011/04/syama-sastry-kriti-santatam-ennai.html
sArasAkshi,sAvEri,http://syamakrishnavaibhavam.blogspot.com/2011/04/syama-sastry-kriti-saarasaakshi-raga.html
sariyevarammA,bhairavi,http://syamakrishnavaibhavam.blogspot.com/2011/05/syama-sastry-kriti-sariyevaramma-raga_24.html
sarOja daLa nEtri,SankarAbharaNam,http://syamakrishnavaibhavam.blogspot.com/2011/06/syama-sastry-kriti-saroja-dala-netri.html
SrI kAmAkshI,kalyANi,http://syamakrishnavaibhavam.blogspot.com/2011/07/syama-sastry-kriti-sri-kamakshi-raga.html
SrIpati Mukha,sAvEri,http://syamakrishnavaibhavam.blogspot.com/2011/04/syama-sastry-kriti-sripati-mukha-raga.html
talli ninnu,kalyANi,http://syamakrishnavaibhavam.blogspot.com/2011/07/syama-sastry-kriti-talli-ninnu-raga.html
taruNamidammA,gauLipantu,http://syamakrishnavaibhavam.blogspot.com/2011/04/syama-sastry-kriti-tarunam-idamma-raga.html
trilOka mAtA,paraju,http://syamakrishnavaibhavam.blogspot.com/2011/04/syama-sastry-kriti-tri-loka-mata-raga.html
