Index,Title-EN,Raga-EN,Tala-EN,Title-SA,Raga-SA,Tala-SA,Mismatch-Reason
6,anatabālakṛṣṇa,īśamanohari,Unknown,अनतबालकृष्ण,ईशमनोहरि२ (२८),आदि,"Scores: T=100.0, R=95.7, TL=0.0"
8,abhayāmbā jagadambā,kalyāṇi,ādi,अभयाम्बानायक वरदायक,कल्याणि (६५),आदि,"Scores: T=66.7, R=100.0, TL=100.0"
13,abhayāmbikāyai,yadukulakāmbhoji,rūpakam,अभयाम्बिकायै,यदुकुलकाम्भोजि (२८),Unknown,"Scores: T=100.0, R=100.0, TL=0.0"
19,avyājakaruṇākatākṣi,sālanganāṭa,triputa,दिव्यालंकृताङ्गश्रिये,सालङ्गनाट (१५),त्रिपुट,"Scores: T=51.3, R=100.0, TL=100.0"
20,aksayalingavibho,śaṅkarābharaṇam,Unknown,अक्षयलिङ्गविभो,शङ्कराभरणम् (२९),मिश्र चापु,"Scores: T=100.0, R=100.0, TL=0.0"
24,āandāmrtākarṣiṇi,amr,miśra cāpu,आनन्दामृताकार्षिणि,अमृतवर्षणि (६६),आदि,"Scores: T=97.0, R=40.0, TL=30.8"
25,[SYNCED] आनन्देश्वरेण,ānandabhairavi,Unknown,आनन्देश्वरेण,आनन्दभैरवि (२०),मिश्र चापु,"Scores: T=100.0, R=100.0, TL=0.0"
28,ucchistagaṇapatau,kāśirāmakriya,Unknown,उच्छिष्टगणपतौ,काशीरामक्रिय (५१),आदि,"Scores: T=100.0, R=100.0, TL=0.0"
29,ekadantam bhaje'ham,bilahari,miśra cāpu,एकाग्रनाथाय,बिलहरि (२१),मिश्र चापु,"Scores: T=50.0, R=100.0, TL=100.0"
30,kāmajanakapūjitāya kamanīyakandharāya,vīravasan,rūpakam,53,वीरवसन्तम (२४),रूपकम्,"Scores: T=0.0, R=81.8, TL=100.0"
34,ekāmreśanāyakīm,cāmaram,Unknown,एकाम्रशनायकीम्,चामरम् (५६),आदि,"Scores: T=93.3, R=100.0, TL=0.0"
37,kañjadaḷāyatākṣi,kamalāmanohari,Unknown,[SYNCED] kañjadaḷāyatākṣi,कमलामनोहरि (३३),Unknown,"Scores: T=100.0, R=100.0, TL=0.0"
40,kamalāmbā samraksatu mām,āandabhairavi,Unknown,कमलाम्बा संरक्षतु माम्,आनन्दभैरवि (२०),तिश्र त्रिपुट,"Scores: T=100.0, R=96.3, TL=0.0"
43,kamalāmbikāyai,kāmbhoji,Unknown,कमलाम्बिकायै,काम्भोजि (२८),अट,"Scores: T=100.0, R=100.0, TL=0.0"
45,kamalāsanavandita,śaṅkarābharaṇam,Unknown,कमलासनवन्दित,शङ्कराभरणम् (२९),चतुरश्र एकम्,"Scores: T=100.0, R=100.0, TL=0.0"
47,kalāvatī kamalāsanayuvatī,kalāvati,ādi,काञ्चीशम्,कलावति (३१),आदि,"Scores: T=30.3, R=100.0, TL=100.0"
48,kāñcīśam,śaṅkarābharaṇam,miśra cāpu,कादम्बरीप्रियायै,शङ्कराभरणम् (२९),तिश्र एकम्,"Scores: T=32.0, R=100.0, TL=60.0"
49,kādambarīpriyāyai,mohanam,Unknown,कामकोटिपीठवासिनि,मोहनम् (६५),मिश्र चापु,"Scores: T=55.6, R=100.0, TL=0.0"
50,kāmakotipīthavāsini,saugandhini,ādi,कामाक्षि कामकोटि,सौगन्धिनि (३७),आदि,"Scores: T=68.6, R=100.0, TL=100.0"
51,kāmāksi kāmakoti,sumadyuti,Unknown,कामाक्षि कामकोटि,सुमद्युति (५७),रूपकम्,"Scores: T=100.0, R=100.0, TL=0.0"
